tag,user,act,exp,par
regex,1310991,4,1.5,0
regex,1633,13,3.23076923077,2
regex,1638,4,2.75,0
regex,788072,1,-1.0,0
regex,1645,1,19.0,0
regex,1646,1,0.0,2
regex,525940,0,0,2
regex,1659,7,6.28571428571,0
regex,788092,1,1.0,0
regex,1666,2,1.5,0
regex,525956,2,2.0,0
regex,1670,1,2.0,0
regex,1672,1,2.0,0
regex,1676,1,3.0,0
regex,788109,0,0,1
regex,1682,0,0,1
regex,263832,1,0.0,0
regex,525978,2,4.0,1
regex,1691,0,0,2
regex,1693,1,0.0,0
regex,1694,3,2.66666666667,0
regex,1695,11,2.0,5
regex,1697,1,0.0,1
regex,1701,1,3.0,1
regex,1702,13,3.15384615385,3
regex,263848,2,1.0,0
regex,263858,0,0,2
regex,1835295,1,9.0,0
regex,1726,0,0,1
regex,263871,2,13.5,1
regex,1730,3,2.33333333333,1
regex,1738,2,2.0,0
regex,1050319,0,0,1
regex,1745,7,0.428571428571,2
regex,263895,0,0,3
regex,526040,1,1.0,3
regex,1755,1,2.0,0
regex,1574622,1,0.0,0
regex,1762,3,2.66666666667,1
regex,788195,1,2.0,1
regex,1765,2,1.0,3
regex,1768,1,0.0,1
regex,788207,0,0,1
regex,1781,1,5.0,0
regex,1786,4,5.5,4
regex,788220,0,0,1
regex,1790,2,20.0,13
regex,1794,0,0,1
regex,1796,2,2.0,3
regex,1797,1,0.0,0
regex,263944,0,0,1
regex,1801,3,2.0,0
regex,1050382,3,2.33333333333,3
regex,1810,1,4.0,0
regex,1818,1,1.0,0
regex,1820,1,11.0,2
regex,1821,18,2.0,9
regex,1826,0,0,1
regex,788260,1,0.0,0
regex,1830,11,1.81818181818,10
regex,1831,10,2.3,13
regex,306140,0,0,2
regex,1836,9,2.11111111111,5
regex,1843,1,1.0,0
regex,263989,1,0.0,0
regex,1050422,1,1.0,0
regex,1851,1,4.0,0
regex,1852,4,0.0,0
regex,1862,27,5.51851851852,17
regex,1867,1,8.0,0
regex,1869,16,3.5625,4
regex,264016,0,0,1
regex,1874,0,0,1
regex,264020,1,1.0,4
regex,264022,4,0.75,1
regex,1312601,1,1.0,1
regex,1886,1,2.0,0
regex,1891,2,2.5,0
regex,1892,2,5.0,4
regex,480913,0,0,1
regex,1897,15,1.6,5
regex,1898,1,0.0,0
regex,1900,1,1.0,0
regex,526189,1,2.0,1
regex,1904,4,0.0,2
regex,1907,1,8.0,1
regex,1050484,1,0.0,0
regex,1914,1,2.0,0
regex,1921,3,0.333333333333,0
regex,526217,1,3.0,1
regex,264074,0,0,1
regex,1934,2,6.0,0
regex,1935,0,0,1
regex,1942,1,0.0,1
regex,1943,1,1.0,1
regex,1946,1,0.0,0
regex,264094,1,1.0,0
regex,1954,12,4.41666666667,4
