tag,user,act,exp,par
oop,997,0,0,1
oop,999,1,0.0,0
oop,1000,2,2.5,1
oop,132076,1,1.0,0
oop,1007,0,0,1
oop,1013,1,1.0,0
oop,1016,0,0,1
oop,132089,1,6.0,0
oop,263162,1,0.0,0
oop,1019,2,1.5,0
oop,131242,1,1.0,0
oop,1026,1,4.0,0
oop,263175,0,0,1
oop,1035,1,2.0,1
oop,656397,1,0.0,0
oop,1042,2,1.5,2
oop,1043,6,33.6666666667,0
oop,1048,2,0.0,0
oop,1053,19,3.47368421053,64
oop,263199,1,0.0,0
oop,1057,3,0.333333333333,0
oop,1060,5,1.8,2
oop,1063,1,0.0,0
oop,1065,1,0.0,0
oop,1070,1,1.0,3
oop,1075,5,1.2,0
oop,1077,1,0.0,0
oop,1081,1,0.0,0
oop,1442874,1,2.0,1
oop,1084,1,3.0,1
oop,1087,1,3.0,0
oop,1088,6,1.5,6
oop,132162,1,1.0,0
oop,1049668,3,2.0,3
oop,1097,0,0,1
oop,1049677,1,0.0,0
oop,1049678,2,7.5,0
oop,1103,1,4.0,0
oop,918608,0,0,4
oop,263251,1,1.0,0
oop,1108,1,5.0,0
oop,1109,1,1.0,2
oop,1114,3,5.0,0
oop,1116,6,4.5,2
oop,1117,2,5.0,0
oop,1122,2,3.0,0
oop,1123,2,1.0,0
oop,1442918,1,3.0,2
oop,656489,1,2.0,0
oop,1130,1,2.0,0
oop,1131,1,1.0,0
oop,263285,1,0.0,0
oop,1143,8,2.375,6
oop,1146,2,7.5,0
oop,1151,2,21.5,0
oop,656513,1,3.0,0
oop,1154,2,-1.0,0
oop,1157,2,0.5,0
oop,1163,1,0.0,0
oop,1169,1,2.0,0
oop,1175,11,4.18181818182,5
oop,787610,0,0,2
oop,1179,2,-1.0,0
oop,787615,1,0.0,0
oop,1574050,1,6.0,0
oop,1190,4,1.5,0
oop,1192,1,0.0,0
oop,1194,1,0.0,0
oop,1196,8,5.25,3
oop,1199,0,0,1
oop,1200,5,6.4,0
oop,132273,1,5.0,11
oop,787643,1,0.0,0
oop,394428,1,0.0,0
oop,1215,1,1.0,0
oop,787648,1,6.0,2
oop,1219,2,2.0,0
oop,1220,2,1.0,2
oop,1227,1,1.0,0
oop,1228,19,2.05263157895,23
oop,1231,1,1.0,0
oop,1234,1,1.0,0
oop,1237,17,3.35294117647,7
oop,1242,6,4.66666666667,0
oop,525532,2,0.0,0
oop,1247,1,2.0,1
oop,1574112,2,1.5,0
oop,132325,1,0.0,0
oop,1254,4,0.75,1
oop,132327,0,0,1
oop,1265,1,0.0,1
oop,1266,0,0,1
oop,525558,1,1.0,0
oop,394487,1,2.0,11
oop,394491,1,1.0,0
oop,394498,1,0.0,0
oop,1705224,1,0.0,0
oop,132364,2,4.0,0
oop,1293,2,1.5,0
oop,1300,1,3.0,0
oop,132374,1,1.0,1
oop,525591,1,5.0,0
oop,1304,1,0.0,0
oop,1705245,1,-1.0,0
oop,132382,1,6.0,2
oop,1314,1,0.0,0
oop,1316,1,2.0,0
oop,1319,1,0.0,0
oop,1321,0,0,1
oop,132396,2,0.0,0
oop,1327,3,0.0,3
oop,656689,1,0.0,0
oop,1334,3,4.0,0
oop,1336,1,0.0,1
oop,1337,4,2.5,19
oop,1049915,0,0,2
oop,132413,2,2.5,1
oop,1343,2,1.5,4
oop,1344,11,3.45454545455,3
oop,918850,0,0,1
oop,1348,6,1.0,4
oop,1353,1,1.0,0
oop,1358,1,1.0,2
oop,1312080,1,1.0,0
oop,525649,1,2.0,2
oop,1181011,1,0.0,0
oop,787796,1,0.0,0
oop,1367,2,3.5,0
oop,1370,3,3.33333333333,1
oop,394589,1,1.0,0
oop,786662,1,1.0,2
oop,132454,1,1.0,1
oop,1384,2,1.5,1
oop,132457,1,0.0,0
oop,1389,1,0.0,0
oop,1390,1,3.0,0
oop,132474,1,1.0,1
oop,656766,1,1.0,0
oop,1407,1,2.0,0
oop,656769,2,3.5,0
oop,1412,3,5.0,2
oop,1414,0,0,1
oop,1245420,0,0,1
oop,1423,1,2.0,0
oop,1425,1,2.0,0
oop,525714,1,3.0,0
oop,1312147,1,2.0,0
oop,1428,1,0.0,0
